Team Name,Team Name,TeamYear,Roster,25-Man Payroll,IR,Retained,Buried,Suspended,Total Payroll,RelPayPerYear,Year
San Francisco Giants,Giants,Giants2013,37,135382980,2498000,2157977,490500,-,140280186,126.5423714,2013
Texas Rangers,Rangers,Rangers2013,39,114162497,10465901,13104000,2461100,-,137937146,124.4287882,2013
Toronto Blue Jays,Blue Jays,Blue Jays2013,41,118289792,-,5613565,10690000,-,131771168,118.8666522,2013
St. Louis Cardinals,Cardinals,Cardinals2013,38,95053922,20000000,5406476,980000,-,120516627,108.7142825,2013
Washington Nationals,Nationals,Nationals2013,38,110761470,491000,3537090,2980000,-,116883274,105.4367483,2013
Chicago White Sox,White Sox,White Sox2013,35,82929539,-,28663303,980000,-,111777595,100.8310749,2013
Cincinnati Reds,Reds,Reds2013,34,97657483,4773114,-,2180000,-,103804640,93.63892137,2013
New York Mets,Mets,Mets2013,38,44861236,26000625,29697743,1976144,-,101300814,91.38029819,2013
Baltimore Orioles,Orioles,Orioles2013,40,96366019,2000000,2007009,490000,-,100415869,90.58201696,2013
Chicago Cubs,Cubs,Cubs2013,38,48057243,6763715,40905330,5690000,-,100052899,90.25459307,2013
Atlanta Braves,Braves,Braves2013,35,86661842,7739750,202972,1471250,-,94947950,85.64957813,2013
Cleveland Indians,Indians,Indians2013,34,68279465,8602603,13914068,2668600,-,93008897,83.90041903,2013
Arizona Diamondbacks,Diamondbacks,Diamondbacks2013,33,75126043,3000000,9916749,2947500,-,88316478,79.66753451,2013
Milwaukee Brewers,Brewers,Brewers2013,35,69142690,1473000,7818853,980000,9500000,88221045,79.58144738,2013
Kansas City Royals,Royals,Royals2013,39,75494673,1100000,6399663,1870000,-,84398434,76.13318947,2013
Seattle Mariners,Mariners,Mariners2013,34,63266296,492200,19217866,980000,-,83220022,75.07018084,2013
Minnesota Twins,Twins,Twins2013,35,56942945,1665000,17083194,6480000,-,81458898,73.48152592,2013
Colorado Rockies,Rockies,Rockies2013,39,74020354,-,1459705,4265500,-,79271624,71.50845441,2013
Tampa Bay Rays,Rays,Rays2013,40,67029393,3270436,4222200,490000,-,74572903,67.26988505,2013
San Diego Padres,Padres,Padres2013,40,63615894,605000,8875201,1472800,-,73286341,66.10931768,2013
Pittsburgh Pirates,Pirates,Pirates2013,37,65262905,2500000,832370,4098000,-,71480984,64.48076156,2013
Oakland Athletics,Athletics,Athletics2013,38,62190572,2875000,1984590,490000,-,67055517,60.48868609,2013
Miami Marlins,Marlins,Marlins2013,35,23618327,4170000,6896666,2450000,-,36028542,32.50022168,2013
Houston Astros,Astros,Astros2013,33,11675066,893384,21912961,1290000,-,35567913,32.08470266,2013
